SERVICE,RESOURCE,AMOUNT,REPR
haproxy:1.7,MEMORY,874999999.0,RAW
elasticsearch:2.4,CPU-QUOTA,46.0,RAW
kibana:4,NET,274773.0,RAW
tsaianson/node-apt-app,NET,274773.0,RAW
haproxy:1.7,CPU-QUOTA,46.0,RAW
elasticsearch:2.4,DISK,19573418.0,RAW
mysql:5.6.32,NET,274773.0,RAW
hantaowang/logstash-postgres,CPU-QUOTA,46.0,RAW
kibana:4,DISK,19573418.0,RAW
library/postgres:9.4,NET,274773.0,RAW
library/postgres:9.4,MEMORY,874999999.0,RAW
mysql:5.6.32,DISK,19573418.0,RAW
tsaianson/node-apt-app,CPU-QUOTA,69.0,RAW
library/postgres:9.4,DISK,19573418.0,RAW
haproxy:1.7,NET,274773.0,RAW
mysql:5.6.32,MEMORY,874999999.0,RAW
hantaowang/logstash-postgres,NET,274773.0,RAW
tsaianson/node-apt-app,MEMORY,874999999.0,RAW
mysql:5.6.32,CPU-QUOTA,46.0,RAW
kibana:4,MEMORY,874999999.0,RAW
library/postgres:9.4,CPU-QUOTA,46.0,RAW
haproxy:1.7,DISK,19573418.0,RAW
hantaowang/logstash-postgres,MEMORY,874999999.0,RAW
elasticsearch:2.4,MEMORY,874999999.0,RAW
hantaowang/logstash-postgres,DISK,19573418.0,RAW
tsaianson/node-apt-app,DISK,19573418.0,RAW
kibana:4,CPU-QUOTA,46.0,RAW
elasticsearch:2.4,NET,274773.0,RAW
